TIME,WndSp,SfcPr
95403,13.4,945.7
95404,12.6,945.8
95405,12.5,946.1
95406,12.7,946.4
95407,12.8,946.4
95408,12.8,946.5
95409,12.6,946.5
95410,12.7,946.5
95411,12.2,946.6
95412,11.8,946.6
95413,11.9,946.6
95414,11.3,946.6
95415,11.1,946.7
95416,10.8,946.7
95417,10.4,946.8
95418,10,946.9
95419,10,947
95420,9.8,946.9
95421,9.9,947.1
95422,9.7,947
95423,9.6,946.9
95424,9.7,947.1
95425,9.1,947.1
95426,9,947.2
95427,9.1,947.3
95428,9.4,947.1
95429,9.3,946.6
95430,8.1,946.6
95431,8.2,946.7
95432,8.2,946.7
95433,8.3,946.7
95434,8.5,946.7
95435,8.7,946.5
95436,8.5,946.5
95437,8.4,946.3
95438,8.2,946.4
95439,8.1,946.4
95440,7.9,946.6
95441,7.3,946.6
95442,7.4,946.5
95443,7.8,946.9
95444,8,946.8
95445,7.9,946.9
95446,8,947.1
95447,8,947
95448,7.2,947
95449,7.2,947.1
95450,7.2,947.1
95451,7.1,947.3
95452,6.9,947.3
95453,6.9,947.2
95454,7.1,947.2
95455,7.2,947.1
95456,7.4,947.2
95457,7,947.2
95458,6.7,947.3
95459,6.8,947.1
95500,6.7,947.1
95501,6.6,946.9
95502,6.7,946.9
95503,6.7,946.8
95504,6.2,946.7
95505,6.1,946.8
95506,6.3,946.6
